cntry,country_name,year,v2x_polyarchy
AT,Austria,2019,0.809
BE,Belgium,2019,0.882
HR,Croatia,2019,0.687
CY,Cyprus,2019,0.84
FI,Finland,2019,0.87
FR,France,2019,0.879
DE,Germany,2019,0.834
GR,Greece,2019,0.86
HU,Hungary,2019,0.485
IS,Iceland,2019,0.85
IE,Ireland,2019,0.864
IT,Italy,2019,0.86
LT,Lithuania,2019,0.803
NL,Netherlands,2019,0.83
NO,Norway,2019,0.874
PL,Poland,2019,0.692
PT,Portugal,2019,0.87
RS,Serbia,2019,0.359
SK,Slovakia,2019,0.813
SI,Slovenia,2019,0.797
ES,Spain,2019,0.876
SE,Sweden,2019,0.874
CH,Switzerland,2019,0.873
GB,United Kingdom,2019,0.859
